281:	test: 0.9445862	best: 0.9445862 (281)	total: 1.53s	remaining: 3.89s
282:	test: 0.9446377	best: 0.9446377 (282)	total: 1.53s	remaining: 3.88s
283:	test: 0.9446491	best: 0.9446491 (283)	total: 1.54s	remaining: 3.88s
284:	test: 0.9446667	best: 0.9446667 (284)	total: 1.54s	remaining: 3.87s
285:	test: 0.9446850	best: 0.9446850 (285)	total: 1.55s	remaining: 3.86s
286:	test: 0.9446940	best: 0.9446940 (286)	total: 1.55s	remaining: 3.85s
287:	test: 0.9447227	best: 0.9447227 (287)	total: 1.56s	remaining: 3.85s
288:	test: 0.9447984	best: 0.9447984 (288)	total: 1.56s	remaining: 3.84s
289:	test: 0.9448053	best: 0.9448053 (289)	total: 1.57s	remaining: 3.83s
290:	test: 0.9448364	best: 0.9448364 (290)	total: 1.57s	remaining: 3.83s
291:	test: 0.9448507	best: 0.9448507 (291)	total: 1.58s	remaining: 3.82s
292:	test: 0.9448791	best: 0.9448791 (292)	total: 1.58s	remaining: 3.82s
293:	test: 0.9448878	best: 0.9448878 (293)	total: 1.59s	remaining: 3.81s
294:	test: 0.9449201	best: 0.9449201 (294)	total: 1.59s	remaining: 3.8s
295:	test: 0.9449113	best: 0.9449201 (294)	total: 1.6s	remaining: 3.8s
296:	test: 0.9449256	best: 0.9449256 (296)	total: 1.6s	remaining: 3.79s
297:	test: 0.9449124	best: 0.9449256 (296)	total: 1.61s	remaining: 3.79s
298:	test: 0.9449305	best: 0.9449305 (298)	total: 1.61s	remaining: 3.78s
299:	test: 0.9449867	best: 0.9449867 (299)	total: 1.62s	remaining: 3.77s
300:	test: 0.9450115	best: 0.9450115 (300)	total: 1.62s	remaining: 3.77s
301:	test: 0.9450464	best: 0.9450464 (301)	total: 1.63s	remaining: 3.76s
302:	test: 0.9450759	best: 0.9450759 (302)	total: 1.63s	remaining: 3.75s
303:	test: 0.9451183	best: 0.9451183 (303)	total: 1.64s	remaining: 3.75s
304:	test: 0.9451410	best: 0.9451410 (304)	total: 1.64s	remaining: 3.74s
305:	test: 0.9452250	best: 0.9452250 (305)	total: 1.65s	remaining: 3.73s
306:	test: 0.9452237	best: 0.9452250 (305)	total: 1.65s	remaining: 3.73s
307:	test: 0.9453069	best: 0.9453069 (307)	total: 1.66s	remaining: 3.72s
308:	test: 0.9453928	best: 0.9453928 (308)	total: 1.66s	remaining: 3.71s
309:	test: 0.9454428	best: 0.9454428 (309)	total: 1.67s	remaining: 3.71s
310:	test: 0.9454264	best: 0.9454428 (309)	total: 1.67s	remaining: 3.7s
311:	test: 0.9454268	best: 0.9454428 (309)	total: 1.68s	remaining: 3.69s
312:	test: 0.9454304	best: 0.9454428 (309)	total: 1.68s	remaining: 3.69s
313:	test: 0.9454778	best: 0.9454778 (313)	total: 1.69s	remaining: 3.69s
314:	test: 0.9455357	best: 0.9455357 (314)	total: 1.69s	remaining: 3.69s
315:	test: 0.9455394	best: 0.9455394 (315)	total: 1.7s	remaining: 3.68s
316:	test: 0.9455081	best: 0.9455394 (315)	total: 1.7s	remaining: 3.67s
317:	test: 0.9455460	best: 0.9455460 (317)	total: 1.71s	remaining: 3.66s
318:	test: 0.9455112	best: 0.9455460 (317)	total: 1.71s	remaining: 3.66s
319:	test: 0.9455142	best: 0.9455460 (317)	total: 1.72s	remaining: 3.65s
320:	test: 0.9455126	best: 0.9455460 (317)	total: 1.72s	remaining: 3.64s
321:	test: 0.9455178	best: 0.9455460 (317)	total: 1.73s	remaining: 3.64s
322:	test: 0.9455348	best: 0.9455460 (317)	total: 1.73s	remaining: 3.63s
323:	test: 0.9455572	best: 0.9455572 (323)	total: 1.74s	remaining: 3.62s
324:	test: 0.9455909	best: 0.9455909 (324)	total: 1.74s	remaining: 3.62s
325:	test: 0.9456312	best: 0.9456312 (325)	total: 1.75s	remaining: 3.61s
326:	test: 0.9456351	best: 0.9456351 (326)	total: 1.75s	remaining: 3.61s
327:	test: 0.9456949	best: 0.9456949 (327)	total: 1.76s	remaining: 3.6s
328:	test: 0.9456997	best: 0.9456997 (328)	total: 1.76s	remaining: 3.6s
