225:	test: 0.8033992	best: 0.8033992 (225)	total: 5.91s	remaining: 20.2s
226:	test: 0.8034114	best: 0.8034114 (226)	total: 5.93s	remaining: 20.2s
227:	test: 0.8034189	best: 0.8034189 (227)	total: 5.96s	remaining: 20.2s
228:	test: 0.8034374	best: 0.8034374 (228)	total: 5.99s	remaining: 20.2s
229:	test: 0.8034465	best: 0.8034465 (229)	total: 6.01s	remaining: 20.1s
230:	test: 0.8034807	best: 0.8034807 (230)	total: 6.04s	remaining: 20.1s
231:	test: 0.8034814	best: 0.8034814 (231)	total: 6.06s	remaining: 20.1s
232:	test: 0.8034734	best: 0.8034814 (231)	total: 6.09s	remaining: 20s
233:	test: 0.8034986	best: 0.8034986 (233)	total: 6.11s	remaining: 20s
234:	test: 0.8035028	best: 0.8035028 (234)	total: 6.13s	remaining: 20s
235:	test: 0.8035386	best: 0.8035386 (235)	total: 6.16s	remaining: 19.9s
236:	test: 0.8035328	best: 0.8035386 (235)	total: 6.18s	remaining: 19.9s
237:	test: 0.8035347	best: 0.8035386 (235)	total: 6.21s	remaining: 19.9s
238:	test: 0.8035502	best: 0.8035502 (238)	total: 6.23s	remaining: 19.8s
239:	test: 0.8035712	best: 0.8035712 (239)	total: 6.26s	remaining: 19.8s
240:	test: 0.8035664	best: 0.8035712 (239)	total: 6.28s	remaining: 19.8s
241:	test: 0.8035728	best: 0.8035728 (241)	total: 6.31s	remaining: 19.8s
242:	test: 0.8035964	best: 0.8035964 (242)	total: 6.34s	remaining: 19.8s
243:	test: 0.8036027	best: 0.8036027 (243)	total: 6.37s	remaining: 19.7s
244:	test: 0.8036041	best: 0.8036041 (244)	total: 6.39s	remaining: 19.7s
245:	test: 0.8035964	best: 0.8036041 (244)	total: 6.42s	remaining: 19.7s
246:	test: 0.8035966	best: 0.8036041 (244)	total: 6.44s	remaining: 19.6s
247:	test: 0.8035965	best: 0.8036041 (244)	total: 6.46s	remaining: 19.6s
248:	test: 0.8036031	best: 0.8036041 (244)	total: 6.49s	remaining: 19.6s
249:	test: 0.8036162	best: 0.8036162 (249)	total: 6.51s	remaining: 19.5s
250:	test: 0.8036283	best: 0.8036283 (250)	total: 6.54s	remaining: 19.5s
251:	test: 0.8036312	best: 0.8036312 (251)	total: 6.56s	remaining: 19.5s
252:	test: 0.8036260	best: 0.8036312 (251)	total: 6.59s	remaining: 19.5s
253:	test: 0.8036437	best: 0.8036437 (253)	total: 6.62s	remaining: 19.4s
254:	test: 0.8036413	best: 0.8036437 (253)	total: 6.64s	remaining: 19.4s
255:	test: 0.8036498	best: 0.8036498 (255)	total: 6.67s	remaining: 19.4s
256:	test: 0.8036535	best: 0.8036535 (256)	total: 6.7s	remaining: 19.4s
257:	test: 0.8036711	best: 0.8036711 (257)	total: 6.72s	remaining: 19.3s
258:	test: 0.8036660	best: 0.8036711 (257)	total: 6.75s	remaining: 19.3s
259:	test: 0.8036712	best: 0.8036712 (259)	total: 6.77s	remaining: 19.3s
260:	test: 0.8036765	best: 0.8036765 (260)	total: 6.8s	remaining: 19.3s
261:	test: 0.8036877	best: 0.8036877 (261)	total: 6.83s	remaining: 19.2s
262:	test: 0.8036956	best: 0.8036956 (262)	total: 6.85s	remaining: 19.2s
263:	test: 0.8037044	best: 0.8037044 (263)	total: 6.88s	remaining: 19.2s
