191:	test: 0.9264975	best: 0.9264975 (191)	total: 780ms	remaining: 3.28s
192:	test: 0.9264975	best: 0.9264975 (192)	total: 783ms	remaining: 3.27s
193:	test: 0.9264978	best: 0.9264978 (193)	total: 786ms	remaining: 3.27s
194:	test: 0.9264980	best: 0.9264980 (194)	total: 790ms	remaining: 3.26s
195:	test: 0.9264947	best: 0.9264980 (194)	total: 793ms	remaining: 3.25s
196:	test: 0.9264948	best: 0.9264980 (194)	total: 796ms	remaining: 3.24s
197:	test: 0.9264954	best: 0.9264980 (194)	total: 799ms	remaining: 3.24s
198:	test: 0.9264959	best: 0.9264980 (194)	total: 803ms	remaining: 3.23s
199:	test: 0.9264963	best: 0.9264980 (194)	total: 806ms	remaining: 3.22s
200:	test: 0.9264966	best: 0.9264980 (194)	total: 809ms	remaining: 3.22s
201:	test: 0.9264966	best: 0.9264980 (194)	total: 812ms	remaining: 3.21s
202:	test: 0.9265034	best: 0.9265034 (202)	total: 816ms	remaining: 3.2s
203:	test: 0.9265038	best: 0.9265038 (203)	total: 820ms	remaining: 3.2s
204:	test: 0.9265013	best: 0.9265038 (203)	total: 823ms	remaining: 3.19s
205:	test: 0.9265125	best: 0.9265125 (205)	total: 826ms	remaining: 3.18s
206:	test: 0.9265125	best: 0.9265125 (206)	total: 829ms	remaining: 3.18s
207:	test: 0.9265125	best: 0.9265125 (207)	total: 832ms	remaining: 3.17s
208:	test: 0.9265133	best: 0.9265133 (208)	total: 835ms	remaining: 3.16s
209:	test: 0.9265340	best: 0.9265340 (209)	total: 839ms	remaining: 3.16s
210:	test: 0.9265344	best: 0.9265344 (210)	total: 843ms	remaining: 3.15s
211:	test: 0.9265344	best: 0.9265344 (211)	total: 846ms	remaining: 3.14s
212:	test: 0.9265345	best: 0.9265345 (212)	total: 848ms	remaining: 3.13s
213:	test: 0.9265340	best: 0.9265345 (212)	total: 852ms	remaining: 3.13s
214:	test: 0.9265341	best: 0.9265345 (212)	total: 855ms	remaining: 3.12s
215:	test: 0.9265341	best: 0.9265345 (212)	total: 858ms	remaining: 3.11s
216:	test: 0.9265425	best: 0.9265425 (216)	total: 862ms	remaining: 3.11s
217:	test: 0.9265425	best: 0.9265425 (217)	total: 865ms	remaining: 3.1s
218:	test: 0.9265429	best: 0.9265429 (218)	total: 868ms	remaining: 3.09s
219:	test: 0.9265429	best: 0.9265429 (219)	total: 870ms	remaining: 3.08s
220:	test: 0.9265434	best: 0.9265434 (220)	total: 874ms	remaining: 3.08s
221:	test: 0.9265440	best: 0.9265440 (221)	total: 878ms	remaining: 3.08s
222:	test: 0.9265447	best: 0.9265447 (222)	total: 881ms	remaining: 3.07s
223:	test: 0.9265449	best: 0.9265449 (223)	total: 884ms	remaining: 3.06s
224:	test: 0.9265447	best: 0.9265449 (223)	total: 888ms	remaining: 3.06s
225:	test: 0.9265632	best: 0.9265632 (225)	total: 891ms	remaining: 3.05s
226:	test: 0.9265641	best: 0.9265641 (226)	total: 895ms	remaining: 3.05s
227:	test: 0.9265643	best: 0.9265643 (227)	total: 899ms	remaining: 3.04s
228:	test: 0.9265643	best: 0.9265643 (227)	total: 903ms	remaining: 3.04s
229:	test: 0.9265651	best: 0.9265651 (229)	total: 907ms	remaining: 3.04s
230:	test: 0.9265658	best: 0.9265658 (230)	total: 910ms	remaining: 3.03s
231:	test: 0.9265660	best: 0.9265660 (231)	total: 915ms	remaining: 3.03s
232:	test: 0.9265670	best: 0.9265670 (232)	total: 918ms	remaining: 3.02s
233:	test: 0.9265671	best: 0.9265671 (233)	total: 921ms	remaining: 3.01s
234:	test: 0.9265673	best: 0.9265673 (234)	total: 925ms	remaining: 3.01s
235:	test: 0.9265673	best: 0.9265673 (235)	total: 927ms	remaining: 3s
236:	test: 0.9265678	best: 0.9265678 (236)	total: 931ms	remaining: 3s
237:	test: 0.9265678	best: 0.9265678 (237)	total: 934ms	remaining: 2.99s
238:	test: 0.9265697	best: 0.9265697 (238)	total: 939ms	remaining: 2.99s
239:	test: 0.9265697	best: 0.9265697 (239)	total: 941ms	remaining: 2.98s
240:	test: 0.9265763	best: 0.9265763 (240)	total: 945ms	remaining: 2.97s
241:	test: 0.9265769	best: 0.9265769 (241)	total: 948ms	remaining: 2.97s
242:	test: 0.9265769	best: 0.9265769 (241)	total: 951ms	remaining: 2.96s
243:	test: 0.9265770	best: 0.9265770 (243)	total: 954ms	remaining: 2.96s
244:	test: 0.9265775	best: 0.9265775 (244)	total: 957ms	remaining: 2.95s
245:	test: 0.9265778	best: 0.9265778 (245)	total: 961ms	remaining: 2.94s
246:	test: 0.9265783	best: 0.9265783 (246)	total: 964ms	remaining: 2.94s
247:	test: 0.9265786	best: 0.9265786 (247)	total: 967ms	remaining: 2.93s
248:	test: 0.9265794	best: 0.9265794 (248)	total: 970ms	remaining: 2.93s
249:	test: 0.9265796	best: 0.9265796 (249)	total: 974ms	remaining: 2.92s
250:	test: 0.9265796	best: 0.9265796 (250)	total: 976ms	remaining: 2.91s
251:	test: 0.9265801	best: 0.9265801 (251)	total: 980ms	remaining: 2.91s
252:	test: 0.9265806	best: 0.9265806 (252)	total: 983ms	remaining: 2.9s
253:	test: 0.9265806	best: 0.9265806 (252)	total: 986ms	remaining: 2.9s
