232:	test: 0.9492299	best: 0.9492299 (232)	total: 1.22s	remaining: 4.02s
233:	test: 0.9492282	best: 0.9492299 (232)	total: 1.22s	remaining: 4.01s
234:	test: 0.9492282	best: 0.9492299 (232)	total: 1.23s	remaining: 4s
235:	test: 0.9492282	best: 0.9492299 (232)	total: 1.23s	remaining: 3.99s
236:	test: 0.9492280	best: 0.9492299 (232)	total: 1.24s	remaining: 3.98s
237:	test: 0.9492281	best: 0.9492299 (232)	total: 1.24s	remaining: 3.97s
238:	test: 0.9492377	best: 0.9492377 (238)	total: 1.24s	remaining: 3.96s
239:	test: 0.9492603	best: 0.9492603 (239)	total: 1.25s	remaining: 3.95s
240:	test: 0.9492660	best: 0.9492660 (240)	total: 1.25s	remaining: 3.94s
241:	test: 0.9492687	best: 0.9492687 (241)	total: 1.26s	remaining: 3.94s
242:	test: 0.9492687	best: 0.9492687 (241)	total: 1.26s	remaining: 3.93s
243:	test: 0.9492687	best: 0.9492687 (243)	total: 1.26s	remaining: 3.91s
244:	test: 0.9492687	best: 0.9492687 (243)	total: 1.27s	remaining: 3.9s
245:	test: 0.9492928	best: 0.9492928 (245)	total: 1.27s	remaining: 3.9s
246:	test: 0.9493007	best: 0.9493007 (246)	total: 1.27s	remaining: 3.89s
247:	test: 0.9493073	best: 0.9493073 (247)	total: 1.28s	remaining: 3.88s
248:	test: 0.9493162	best: 0.9493162 (248)	total: 1.28s	remaining: 3.87s
249:	test: 0.9493163	best: 0.9493163 (249)	total: 1.29s	remaining: 3.86s
250:	test: 0.9493164	best: 0.9493164 (250)	total: 1.29s	remaining: 3.85s
251:	test: 0.9493164	best: 0.9493164 (251)	total: 1.29s	remaining: 3.84s
252:	test: 0.9493239	best: 0.9493239 (252)	total: 1.3s	remaining: 3.83s
253:	test: 0.9493324	best: 0.9493324 (253)	total: 1.3s	remaining: 3.83s
254:	test: 0.9493325	best: 0.9493325 (254)	total: 1.3s	remaining: 3.81s
255:	test: 0.9493325	best: 0.9493325 (255)	total: 1.31s	remaining: 3.81s
