234:	test: 0.9465272	best: 0.9465272 (234)	total: 1.11s	remaining: 3.63s
235:	test: 0.9465272	best: 0.9465272 (235)	total: 1.12s	remaining: 3.62s
236:	test: 0.9465273	best: 0.9465273 (236)	total: 1.12s	remaining: 3.61s
237:	test: 0.9465274	best: 0.9465274 (237)	total: 1.13s	remaining: 3.6s
238:	test: 0.9465275	best: 0.9465275 (238)	total: 1.13s	remaining: 3.59s
239:	test: 0.9465275	best: 0.9465275 (238)	total: 1.13s	remaining: 3.58s
240:	test: 0.9465275	best: 0.9465275 (240)	total: 1.14s	remaining: 3.58s
241:	test: 0.9465276	best: 0.9465276 (241)	total: 1.14s	remaining: 3.57s
242:	test: 0.9465276	best: 0.9465276 (242)	total: 1.14s	remaining: 3.56s
243:	test: 0.9465276	best: 0.9465276 (243)	total: 1.15s	remaining: 3.55s
244:	test: 0.9465284	best: 0.9465284 (244)	total: 1.15s	remaining: 3.54s
245:	test: 0.9465284	best: 0.9465284 (245)	total: 1.15s	remaining: 3.54s
246:	test: 0.9465284	best: 0.9465284 (246)	total: 1.16s	remaining: 3.53s
247:	test: 0.9465286	best: 0.9465286 (247)	total: 1.16s	remaining: 3.52s
248:	test: 0.9465286	best: 0.9465286 (248)	total: 1.17s	remaining: 3.51s
249:	test: 0.9465287	best: 0.9465287 (249)	total: 1.17s	remaining: 3.5s
250:	test: 0.9465287	best: 0.9465287 (249)	total: 1.17s	remaining: 3.5s
251:	test: 0.9465287	best: 0.9465287 (249)	total: 1.17s	remaining: 3.49s
252:	test: 0.9465287	best: 0.9465287 (252)	total: 1.18s	remaining: 3.48s
253:	test: 0.9465288	best: 0.9465288 (253)	total: 1.18s	remaining: 3.47s
254:	test: 0.9465288	best: 0.9465288 (254)	total: 1.19s	remaining: 3.46s
255:	test: 0.9465291	best: 0.9465291 (255)	total: 1.19s	remaining: 3.46s
256:	test: 0.9465291	best: 0.9465291 (255)	total: 1.19s	remaining: 3.45s
257:	test: 0.9465291	best: 0.9465291 (255)	total: 1.2s	remaining: 3.44s
258:	test: 0.9465292	best: 0.9465292 (258)	total: 1.2s	remaining: 3.44s
259:	test: 0.9465292	best: 0.9465292 (259)	total: 1.21s	remaining: 3.43s
260:	test: 0.9465293	best: 0.9465293 (260)	total: 1.21s	remaining: 3.42s
261:	test: 0.9465293	best: 0.9465293 (260)	total: 1.21s	remaining: 3.42s
262:	test: 0.9465374	best: 0.9465374 (262)	total: 1.22s	remaining: 3.41s
263:	test: 0.9465378	best: 0.9465378 (263)	total: 1.22s	remaining: 3.4s
264:	test: 0.9465384	best: 0.9465384 (264)	total: 1.23s	remaining: 3.4s
265:	test: 0.9465384	best: 0.9465384 (265)	total: 1.23s	remaining: 3.39s
266:	test: 0.9465386	best: 0.9465386 (266)	total: 1.23s	remaining: 3.38s
267:	test: 0.9465386	best: 0.9465386 (267)	total: 1.24s	remaining: 3.38s
268:	test: 0.9465391	best: 0.9465391 (268)	total: 1.24s	remaining: 3.37s
269:	test: 0.9465391	best: 0.9465391 (268)	total: 1.24s	remaining: 3.37s
270:	test: 0.9465391	best: 0.9465391 (270)	total: 1.25s	remaining: 3.36s
271:	test: 0.9465392	best: 0.9465392 (271)	total: 1.25s	remaining: 3.35s
272:	test: 0.9465393	best: 0.9465393 (272)	total: 1.25s	remaining: 3.34s
273:	test: 0.9465393	best: 0.9465393 (273)	total: 1.26s	remaining: 3.33s
274:	test: 0.9465393	best: 0.9465393 (274)	total: 1.26s	remaining: 3.33s
275:	test: 0.9465393	best: 0.9465393 (275)	total: 1.26s	remaining: 3.32s
276:	test: 0.9465397	best: 0.9465397 (276)	total: 1.27s	remaining: 3.31s
277:	test: 0.9465397	best: 0.9465397 (277)	total: 1.27s	remaining: 3.31s
278:	test: 0.9465397	best: 0.9465397 (278)	total: 1.28s	remaining: 3.3s
279:	test: 0.9465400	best: 0.9465400 (279)	total: 1.28s	remaining: 3.29s
280:	test: 0.9465402	best: 0.9465402 (280)	total: 1.28s	remaining: 3.29s
281:	test: 0.9465441	best: 0.9465441 (281)	total: 1.29s	remaining: 3.28s
282:	test: 0.9465441	best: 0.9465441 (281)	total: 1.29s	remaining: 3.28s
283:	test: 0.9465441	best: 0.9465441 (283)	total: 1.3s	remaining: 3.27s
284:	test: 0.9465447	best: 0.9465447 (284)	total: 1.3s	remaining: 3.26s
[34m[1mwandb[39m[22m: Adding directory to artifact (./artifacts)... Done. 0.0s
285:	test: 0.9465448	best: 0.9465448 (285)	total: 1.3s	remaining: 3.26s
286:	test: 0.9465449	best: 0.9465449 (286)	total: 1.31s	remaining: 3.25s
287:	test: 0.9465449	best: 0.9465449 (287)	total: 1.31s	remaining: 3.24s
288:	test: 0.9465452	best: 0.9465452 (288)	total: 1.31s	remaining: 3.23s
289:	test: 0.9465453	best: 0.9465453 (289)	total: 1.32s	remaining: 3.23s
290:	test: 0.9465456	best: 0.9465456 (290)	total: 1.32s	remaining: 3.22s
291:	test: 0.9465456	best: 0.9465456 (290)	total: 1.33s	remaining: 3.21s
292:	test: 0.9465456	best: 0.9465456 (290)	total: 1.33s	remaining: 3.21s
293:	test: 0.9465456	best: 0.9465456 (290)	total: 1.33s	remaining: 3.2s
294:	test: 0.9465457	best: 0.9465457 (294)	total: 1.34s	remaining: 3.2s
295:	test: 0.9465463	best: 0.9465463 (295)	total: 1.34s	remaining: 3.19s
296:	test: 0.9465463	best: 0.9465463 (295)	total: 1.35s	remaining: 3.19s
297:	test: 0.9465469	best: 0.9465469 (297)	total: 1.35s	remaining: 3.18s
298:	test: 0.9465470	best: 0.9465470 (298)	total: 1.35s	remaining: 3.17s
299:	test: 0.9465470	best: 0.9465470 (299)	total: 1.36s	remaining: 3.17s
300:	test: 0.9465471	best: 0.9465471 (300)	total: 1.36s	remaining: 3.16s
301:	test: 0.9465472	best: 0.9465472 (301)	total: 1.36s	remaining: 3.15s
302:	test: 0.9465472	best: 0.9465472 (302)	total: 1.37s	remaining: 3.15s
303:	test: 0.9465472	best: 0.9465472 (303)	total: 1.37s	remaining: 3.14s
304:	test: 0.9465474	best: 0.9465474 (304)	total: 1.38s	remaining: 3.13s
305:	test: 0.9465474	best: 0.9465474 (305)	total: 1.38s	remaining: 3.13s
306:	test: 0.9465474	best: 0.9465474 (306)	total: 1.38s	remaining: 3.12s
307:	test: 0.9465474	best: 0.9465474 (307)	total: 1.39s	remaining: 3.11s
308:	test: 0.9465474	best: 0.9465474 (307)	total: 1.39s	remaining: 3.1s
309:	test: 0.9465451	best: 0.9465474 (307)	total: 1.39s	remaining: 3.1s
310:	test: 0.9465456	best: 0.9465474 (307)	total: 1.4s	remaining: 3.1s
311:	test: 0.9465457	best: 0.9465474 (307)	total: 1.4s	remaining: 3.09s
312:	test: 0.9465457	best: 0.9465474 (307)	total: 1.4s	remaining: 3.08s
313:	test: 0.9465457	best: 0.9465474 (307)	total: 1.41s	remaining: 3.08s
314:	test: 0.9465457	best: 0.9465474 (307)	total: 1.41s	remaining: 3.07s
315:	test: 0.9465457	best: 0.9465474 (307)	total: 1.41s	remaining: 3.06s
316:	test: 0.9465457	best: 0.9465474 (307)	total: 1.42s	remaining: 3.06s
317:	test: 0.9465457	best: 0.9465474 (307)	total: 1.42s	remaining: 3.05s
318:	test: 0.9465458	best: 0.9465474 (307)	total: 1.42s	remaining: 3.04s
319:	test: 0.9465459	best: 0.9465474 (307)	total: 1.43s	remaining: 3.04s
320:	test: 0.9465459	best: 0.9465474 (307)	total: 1.43s	remaining: 3.03s
321:	test: 0.9465458	best: 0.9465474 (307)	total: 1.44s	remaining: 3.02s
322:	test: 0.9465459	best: 0.9465474 (307)	total: 1.44s	remaining: 3.02s
323:	test: 0.9465459	best: 0.9465474 (307)	total: 1.44s	remaining: 3.01s
324:	test: 0.9465459	best: 0.9465474 (307)	total: 1.45s	remaining: 3s
325:	test: 0.9465460	best: 0.9465474 (307)	total: 1.45s	remaining: 3s
326:	test: 0.9465460	best: 0.9465474 (307)	total: 1.45s	remaining: 2.99s
327:	test: 0.9465460	best: 0.9465474 (307)	total: 1.46s	remaining: 2.98s
Stopped by overfitting detector  (20 iterations wait)
bestTest = 0.946547431
bestIteration = 307
