210:	test: 0.9468245	best: 0.9468245 (210)	total: 1.14s	remaining: 4.26s
211:	test: 0.9468245	best: 0.9468245 (210)	total: 1.14s	remaining: 4.25s
212:	test: 0.9468442	best: 0.9468442 (212)	total: 1.15s	remaining: 4.25s
213:	test: 0.9468494	best: 0.9468494 (213)	total: 1.15s	remaining: 4.23s
214:	test: 0.9468493	best: 0.9468494 (213)	total: 1.16s	remaining: 4.22s
215:	test: 0.9468552	best: 0.9468552 (215)	total: 1.16s	remaining: 4.21s
216:	test: 0.9468643	best: 0.9468643 (216)	total: 1.16s	remaining: 4.2s
217:	test: 0.9468645	best: 0.9468645 (217)	total: 1.17s	remaining: 4.19s
218:	test: 0.9468685	best: 0.9468685 (218)	total: 1.17s	remaining: 4.18s
219:	test: 0.9468769	best: 0.9468769 (219)	total: 1.18s	remaining: 4.17s
220:	test: 0.9468769	best: 0.9468769 (219)	total: 1.18s	remaining: 4.16s
221:	test: 0.9468863	best: 0.9468863 (221)	total: 1.18s	remaining: 4.15s
222:	test: 0.9468864	best: 0.9468864 (222)	total: 1.19s	remaining: 4.14s
223:	test: 0.9468935	best: 0.9468935 (223)	total: 1.19s	remaining: 4.13s
224:	test: 0.9468970	best: 0.9468970 (224)	total: 1.2s	remaining: 4.12s
225:	test: 0.9469076	best: 0.9469076 (225)	total: 1.2s	remaining: 4.11s
226:	test: 0.9469171	best: 0.9469171 (226)	total: 1.2s	remaining: 4.1s
227:	test: 0.9469238	best: 0.9469238 (227)	total: 1.21s	remaining: 4.09s
228:	test: 0.9469238	best: 0.9469238 (227)	total: 1.21s	remaining: 4.08s
229:	test: 0.9469238	best: 0.9469238 (227)	total: 1.21s	remaining: 4.07s
230:	test: 0.9469305	best: 0.9469305 (230)	total: 1.22s	remaining: 4.06s
231:	test: 0.9469305	best: 0.9469305 (230)	total: 1.22s	remaining: 4.05s
232:	test: 0.9469455	best: 0.9469455 (232)	total: 1.23s	remaining: 4.04s
233:	test: 0.9469489	best: 0.9469489 (233)	total: 1.23s	remaining: 4.03s
234:	test: 0.9469489	best: 0.9469489 (234)	total: 1.23s	remaining: 4.02s
235:	test: 0.9469489	best: 0.9469489 (234)	total: 1.24s	remaining: 4.01s
236:	test: 0.9469561	best: 0.9469561 (236)	total: 1.24s	remaining: 4s
237:	test: 0.9469555	best: 0.9469561 (236)	total: 1.25s	remaining: 3.99s
238:	test: 0.9469596	best: 0.9469596 (238)	total: 1.25s	remaining: 3.98s
239:	test: 0.9469627	best: 0.9469627 (239)	total: 1.25s	remaining: 3.96s
240:	test: 0.9469754	best: 0.9469754 (240)	total: 1.26s	remaining: 3.96s
241:	test: 0.9469754	best: 0.9469754 (240)	total: 1.26s	remaining: 3.95s
242:	test: 0.9469757	best: 0.9469757 (242)	total: 1.26s	remaining: 3.94s
243:	test: 0.9469999	best: 0.9469999 (243)	total: 1.27s	remaining: 3.93s
244:	test: 0.9470037	best: 0.9470037 (244)	total: 1.27s	remaining: 3.92s
245:	test: 0.9470051	best: 0.9470051 (245)	total: 1.27s	remaining: 3.91s
246:	test: 0.9470100	best: 0.9470100 (246)	total: 1.28s	remaining: 3.9s
247:	test: 0.9470188	best: 0.9470188 (247)	total: 1.28s	remaining: 3.89s
248:	test: 0.9470187	best: 0.9470188 (247)	total: 1.29s	remaining: 3.88s
249:	test: 0.9470246	best: 0.9470246 (249)	total: 1.29s	remaining: 3.87s
250:	test: 0.9470337	best: 0.9470337 (250)	total: 1.29s	remaining: 3.87s
251:	test: 0.9470337	best: 0.9470337 (250)	total: 1.3s	remaining: 3.85s
252:	test: 0.9470350	best: 0.9470350 (252)	total: 1.3s	remaining: 3.85s
253:	test: 0.9470483	best: 0.9470483 (253)	total: 1.31s	remaining: 3.84s
254:	test: 0.9470484	best: 0.9470484 (254)	total: 1.31s	remaining: 3.83s
255:	test: 0.9470595	best: 0.9470595 (255)	total: 1.31s	remaining: 3.82s
256:	test: 0.9470647	best: 0.9470647 (256)	total: 1.32s	remaining: 3.82s
257:	test: 0.9470647	best: 0.9470647 (256)	total: 1.32s	remaining: 3.8s
258:	test: 0.9470646	best: 0.9470647 (256)	total: 1.33s	remaining: 3.8s
259:	test: 0.9470651	best: 0.9470651 (259)	total: 1.33s	remaining: 3.79s
260:	test: 0.9470746	best: 0.9470746 (260)	total: 1.34s	remaining: 3.78s
261:	test: 0.9470746	best: 0.9470746 (260)	total: 1.34s	remaining: 3.77s
262:	test: 0.9470745	best: 0.9470746 (260)	total: 1.34s	remaining: 3.77s
263:	test: 0.9470761	best: 0.9470761 (263)	total: 1.35s	remaining: 3.76s
264:	test: 0.9470942	best: 0.9470942 (264)	total: 1.35s	remaining: 3.75s
265:	test: 0.9470965	best: 0.9470965 (265)	total: 1.36s	remaining: 3.74s
266:	test: 0.9470965	best: 0.9470965 (265)	total: 1.36s	remaining: 3.73s
267:	test: 0.9470967	best: 0.9470967 (267)	total: 1.36s	remaining: 3.73s
268:	test: 0.9470937	best: 0.9470967 (267)	total: 1.37s	remaining: 3.73s
269:	test: 0.9471014	best: 0.9471014 (269)	total: 1.38s	remaining: 3.72s
