220:	test: 0.8031373	best: 0.8031373 (220)	total: 11.4s	remaining: 40.3s
221:	test: 0.8031449	best: 0.8031449 (221)	total: 11.5s	remaining: 40.3s
222:	test: 0.8031540	best: 0.8031540 (222)	total: 11.5s	remaining: 40.2s
223:	test: 0.8031649	best: 0.8031649 (223)	total: 11.6s	remaining: 40.2s
224:	test: 0.8031710	best: 0.8031710 (224)	total: 11.7s	remaining: 40.2s
225:	test: 0.8031642	best: 0.8031710 (224)	total: 11.7s	remaining: 40.1s
226:	test: 0.8031660	best: 0.8031710 (224)	total: 11.8s	remaining: 40.1s
227:	test: 0.8031729	best: 0.8031729 (227)	total: 11.8s	remaining: 40s
228:	test: 0.8031836	best: 0.8031836 (228)	total: 11.9s	remaining: 39.9s
229:	test: 0.8031953	best: 0.8031953 (229)	total: 11.9s	remaining: 39.9s
230:	test: 0.8032121	best: 0.8032121 (230)	total: 12s	remaining: 39.8s
231:	test: 0.8032264	best: 0.8032264 (231)	total: 12s	remaining: 39.8s
232:	test: 0.8032297	best: 0.8032297 (232)	total: 12.1s	remaining: 39.7s
233:	test: 0.8032313	best: 0.8032313 (233)	total: 12.1s	remaining: 39.6s
234:	test: 0.8032210	best: 0.8032313 (233)	total: 12.2s	remaining: 39.6s
235:	test: 0.8032331	best: 0.8032331 (235)	total: 12.2s	remaining: 39.5s
236:	test: 0.8032391	best: 0.8032391 (236)	total: 12.2s	remaining: 39.4s
237:	test: 0.8032510	best: 0.8032510 (237)	total: 12.3s	remaining: 39.4s
238:	test: 0.8032698	best: 0.8032698 (238)	total: 12.4s	remaining: 39.3s
239:	test: 0.8032618	best: 0.8032698 (238)	total: 12.4s	remaining: 39.3s
240:	test: 0.8032679	best: 0.8032698 (238)	total: 12.4s	remaining: 39.2s
241:	test: 0.8033033	best: 0.8033033 (241)	total: 12.5s	remaining: 39.1s
242:	test: 0.8033072	best: 0.8033072 (242)	total: 12.5s	remaining: 39.1s
243:	test: 0.8033125	best: 0.8033125 (243)	total: 12.6s	remaining: 39s
244:	test: 0.8033182	best: 0.8033182 (244)	total: 12.6s	remaining: 38.9s
245:	test: 0.8033204	best: 0.8033204 (245)	total: 12.7s	remaining: 38.9s
246:	test: 0.8033261	best: 0.8033261 (246)	total: 12.7s	remaining: 38.8s
247:	test: 0.8033305	best: 0.8033305 (247)	total: 12.8s	remaining: 38.8s
248:	test: 0.8033185	best: 0.8033305 (247)	total: 12.8s	remaining: 38.7s
249:	test: 0.8033251	best: 0.8033305 (247)	total: 12.9s	remaining: 38.6s
250:	test: 0.8033279	best: 0.8033305 (247)	total: 12.9s	remaining: 38.6s
251:	test: 0.8033231	best: 0.8033305 (247)	total: 13s	remaining: 38.5s
252:	test: 0.8033280	best: 0.8033305 (247)	total: 13s	remaining: 38.4s
253:	test: 0.8033269	best: 0.8033305 (247)	total: 13.1s	remaining: 38.3s
254:	test: 0.8033373	best: 0.8033373 (254)	total: 13.1s	remaining: 38.3s
255:	test: 0.8033538	best: 0.8033538 (255)	total: 13.2s	remaining: 38.2s
256:	test: 0.8033665	best: 0.8033665 (256)	total: 13.2s	remaining: 38.2s
257:	test: 0.8033619	best: 0.8033665 (256)	total: 13.3s	remaining: 38.1s
258:	test: 0.8033697	best: 0.8033697 (258)	total: 13.3s	remaining: 38s
259:	test: 0.8033856	best: 0.8033856 (259)	total: 13.4s	remaining: 38s
260:	test: 0.8033850	best: 0.8033856 (259)	total: 13.4s	remaining: 38s
261:	test: 0.8033990	best: 0.8033990 (261)	total: 13.5s	remaining: 37.9s
262:	test: 0.8033933	best: 0.8033990 (261)	total: 13.5s	remaining: 37.8s
263:	test: 0.8033944	best: 0.8033990 (261)	total: 13.6s	remaining: 37.8s
264:	test: 0.8034026	best: 0.8034026 (264)	total: 13.6s	remaining: 37.7s
265:	test: 0.8034041	best: 0.8034041 (265)	total: 13.7s	remaining: 37.7s
266:	test: 0.8034054	best: 0.8034054 (266)	total: 13.7s	remaining: 37.6s
267:	test: 0.8034076	best: 0.8034076 (267)	total: 13.8s	remaining: 37.6s
268:	test: 0.8034166	best: 0.8034166 (268)	total: 13.8s	remaining: 37.5s
269:	test: 0.8034295	best: 0.8034295 (269)	total: 13.9s	remaining: 37.5s
270:	test: 0.8034418	best: 0.8034418 (270)	total: 13.9s	remaining: 37.4s
271:	test: 0.8034396	best: 0.8034418 (270)	total: 14s	remaining: 37.4s
272:	test: 0.8034440	best: 0.8034440 (272)	total: 14s	remaining: 37.3s
273:	test: 0.8034496	best: 0.8034496 (273)	total: 14.1s	remaining: 37.3s
274:	test: 0.8034546	best: 0.8034546 (274)	total: 14.1s	remaining: 37.2s
275:	test: 0.8034648	best: 0.8034648 (275)	total: 14.2s	remaining: 37.2s
276:	test: 0.8034805	best: 0.8034805 (276)	total: 14.2s	remaining: 37.1s
277:	test: 0.8034799	best: 0.8034805 (276)	total: 14.3s	remaining: 37.1s
278:	test: 0.8034737	best: 0.8034805 (276)	total: 14.3s	remaining: 37s
279:	test: 0.8034718	best: 0.8034805 (276)	total: 14.4s	remaining: 37s
280:	test: 0.8034677	best: 0.8034805 (276)	total: 14.4s	remaining: 36.9s
281:	test: 0.8034723	best: 0.8034805 (276)	total: 14.5s	remaining: 36.9s
282:	test: 0.8034630	best: 0.8034805 (276)	total: 14.5s	remaining: 36.9s
283:	test: 0.8034710	best: 0.8034805 (276)	total: 14.6s	remaining: 36.8s
284:	test: 0.8034748	best: 0.8034805 (276)	total: 14.6s	remaining: 36.7s
285:	test: 0.8034765	best: 0.8034805 (276)	total: 14.7s	remaining: 36.7s
286:	test: 0.8034781	best: 0.8034805 (276)	total: 14.7s	remaining: 36.6s
287:	test: 0.8034724	best: 0.8034805 (276)	total: 14.8s	remaining: 36.6s
288:	test: 0.8034714	best: 0.8034805 (276)	total: 14.8s	remaining: 36.5s
289:	test: 0.8034994	best: 0.8034994 (289)	total: 14.9s	remaining: 36.5s
290:	test: 0.8034975	best: 0.8034994 (289)	total: 14.9s	remaining: 36.4s
291:	test: 0.8035055	best: 0.8035055 (291)	total: 15s	remaining: 36.4s
292:	test: 0.8035196	best: 0.8035196 (292)	total: 15s	remaining: 36.3s
293:	test: 0.8035199	best: 0.8035199 (293)	total: 15.1s	remaining: 36.2s
294:	test: 0.8035162	best: 0.8035199 (293)	total: 15.1s	remaining: 36.1s
295:	test: 0.8035262	best: 0.8035262 (295)	total: 15.2s	remaining: 36.1s
296:	test: 0.8035228	best: 0.8035262 (295)	total: 15.2s	remaining: 36s
297:	test: 0.8035410	best: 0.8035410 (297)	total: 15.3s	remaining: 36s
298:	test: 0.8035473	best: 0.8035473 (298)	total: 15.3s	remaining: 35.9s
299:	test: 0.8035533	best: 0.8035533 (299)	total: 15.4s	remaining: 35.9s
300:	test: 0.8035510	best: 0.8035533 (299)	total: 15.4s	remaining: 35.9s
301:	test: 0.8035616	best: 0.8035616 (301)	total: 15.5s	remaining: 35.8s
302:	test: 0.8035652	best: 0.8035652 (302)	total: 15.5s	remaining: 35.8s
303:	test: 0.8035818	best: 0.8035818 (303)	total: 15.6s	remaining: 35.7s
304:	test: 0.8035909	best: 0.8035909 (304)	total: 15.6s	remaining: 35.7s
305:	test: 0.8035938	best: 0.8035938 (305)	total: 15.7s	remaining: 35.6s
306:	test: 0.8036102	best: 0.8036102 (306)	total: 15.7s	remaining: 35.5s
307:	test: 0.8036139	best: 0.8036139 (307)	total: 15.8s	remaining: 35.5s
308:	test: 0.8036230	best: 0.8036230 (308)	total: 15.8s	remaining: 35.4s
309:	test: 0.8036225	best: 0.8036230 (308)	total: 15.9s	remaining: 35.4s
310:	test: 0.8036265	best: 0.8036265 (310)	total: 15.9s	remaining: 35.3s
311:	test: 0.8036400	best: 0.8036400 (311)	total: 16s	remaining: 35.3s
312:	test: 0.8036537	best: 0.8036537 (312)	total: 16s	remaining: 35.2s
313:	test: 0.8036513	best: 0.8036537 (312)	total: 16.1s	remaining: 35.2s
314:	test: 0.8036622	best: 0.8036622 (314)	total: 16.1s	remaining: 35.1s
315:	test: 0.8036654	best: 0.8036654 (315)	total: 16.2s	remaining: 35.1s
316:	test: 0.8036569	best: 0.8036654 (315)	total: 16.2s	remaining: 35s
317:	test: 0.8036569	best: 0.8036654 (315)	total: 16.3s	remaining: 34.9s
318:	test: 0.8036656	best: 0.8036656 (318)	total: 16.3s	remaining: 34.9s
319:	test: 0.8036690	best: 0.8036690 (319)	total: 16.4s	remaining: 34.8s
320:	test: 0.8036704	best: 0.8036704 (320)	total: 16.4s	remaining: 34.8s
321:	test: 0.8036723	best: 0.8036723 (321)	total: 16.5s	remaining: 34.7s
322:	test: 0.8036702	best: 0.8036723 (321)	total: 16.5s	remaining: 34.7s
323:	test: 0.8036713	best: 0.8036723 (321)	total: 16.6s	remaining: 34.6s
324:	test: 0.8036817	best: 0.8036817 (324)	total: 16.6s	remaining: 34.6s
325:	test: 0.8036853	best: 0.8036853 (325)	total: 16.7s	remaining: 34.5s
326:	test: 0.8036921	best: 0.8036921 (326)	total: 16.7s	remaining: 34.4s
