247:	test: 0.9392950	best: 0.9392950 (247)	total: 851ms	remaining: 2.58s
248:	test: 0.9397393	best: 0.9397393 (248)	total: 855ms	remaining: 2.58s
249:	test: 0.9400917	best: 0.9400917 (249)	total: 858ms	remaining: 2.57s
250:	test: 0.9402422	best: 0.9402422 (250)	total: 861ms	remaining: 2.57s
251:	test: 0.9405082	best: 0.9405082 (251)	total: 864ms	remaining: 2.56s
252:	test: 0.9406274	best: 0.9406274 (252)	total: 867ms	remaining: 2.56s
253:	test: 0.9406198	best: 0.9406274 (252)	total: 871ms	remaining: 2.56s
254:	test: 0.9406197	best: 0.9406274 (252)	total: 873ms	remaining: 2.55s
255:	test: 0.9406368	best: 0.9406368 (255)	total: 877ms	remaining: 2.55s
256:	test: 0.9406401	best: 0.9406401 (256)	total: 880ms	remaining: 2.54s
257:	test: 0.9406394	best: 0.9406401 (256)	total: 884ms	remaining: 2.54s
258:	test: 0.9406397	best: 0.9406401 (256)	total: 887ms	remaining: 2.54s
259:	test: 0.9406417	best: 0.9406417 (259)	total: 890ms	remaining: 2.53s
260:	test: 0.9406711	best: 0.9406711 (260)	total: 894ms	remaining: 2.53s
261:	test: 0.9406711	best: 0.9406711 (260)	total: 897ms	remaining: 2.53s
262:	test: 0.9406711	best: 0.9406711 (262)	total: 900ms	remaining: 2.52s
263:	test: 0.9408730	best: 0.9408730 (263)	total: 904ms	remaining: 2.52s
264:	test: 0.9408861	best: 0.9408861 (264)	total: 906ms	remaining: 2.51s
265:	test: 0.9408861	best: 0.9408861 (264)	total: 910ms	remaining: 2.51s
266:	test: 0.9408869	best: 0.9408869 (266)	total: 913ms	remaining: 2.51s
267:	test: 0.9408869	best: 0.9408869 (266)	total: 916ms	remaining: 2.5s
268:	test: 0.9408953	best: 0.9408953 (268)	total: 919ms	remaining: 2.5s
269:	test: 0.9409934	best: 0.9409934 (269)	total: 922ms	remaining: 2.49s
270:	test: 0.9409913	best: 0.9409934 (269)	total: 925ms	remaining: 2.49s
271:	test: 0.9409987	best: 0.9409987 (271)	total: 928ms	remaining: 2.48s
272:	test: 0.9409985	best: 0.9409987 (271)	total: 932ms	remaining: 2.48s
273:	test: 0.9409985	best: 0.9409987 (271)	total: 935ms	remaining: 2.48s
274:	test: 0.9409983	best: 0.9409987 (271)	total: 938ms	remaining: 2.47s
275:	test: 0.9410037	best: 0.9410037 (275)	total: 941ms	remaining: 2.47s
276:	test: 0.9410019	best: 0.9410037 (275)	total: 945ms	remaining: 2.47s
277:	test: 0.9409969	best: 0.9410037 (275)	total: 948ms	remaining: 2.46s
278:	test: 0.9409955	best: 0.9410037 (275)	total: 951ms	remaining: 2.46s
279:	test: 0.9409849	best: 0.9410037 (275)	total: 954ms	remaining: 2.45s
280:	test: 0.9410071	best: 0.9410071 (280)	total: 958ms	remaining: 2.45s
281:	test: 0.9410033	best: 0.9410071 (280)	total: 961ms	remaining: 2.45s
282:	test: 0.9410080	best: 0.9410080 (282)	total: 964ms	remaining: 2.44s
283:	test: 0.9410080	best: 0.9410080 (282)	total: 967ms	remaining: 2.44s
284:	test: 0.9410082	best: 0.9410082 (284)	total: 971ms	remaining: 2.44s
285:	test: 0.9410080	best: 0.9410082 (284)	total: 974ms	remaining: 2.43s
